mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
36	36	213/2	213/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	529													
36	36	105	105	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	530				articAccentAbove									
36	36	105	105	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	531													
36	36	213/2	213/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	532													
36	36	105	105	3.0	0	0	Chord	6/8	3	1	3/4		1/2	3/2	533				articAccentBelow									
37	37	108	108	0.0	0	0	Chord	6/8	1	1	0	acciaccatura	1/8	1	534													
37	37	108	108	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	535	-gen.	-gen.											
37	37	108	108	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	536										69			
37	37	433/4	433/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	537										69			
37	37	217/2	217/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	538										69			
37	37	435/4	435/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	539										69			
37	37	109	109	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	540													
37	37	219/2	219/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	541										70			
37	37	439/4	439/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	542										70			
37	37	110	110	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	543										70			
37	37	441/4	441/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	544										70			
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	545													
37	37	108	108	0.0	0	0	Dynamic	6/8	3	1	0							f										
37	37	108	108	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	546										71			
37	37	433/4	433/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	547										71			
37	37	217/2	217/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	548										71			
37	37	435/4	435/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	549										71			
37	37	109	109	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	550													
37	37	219/2	219/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16		1/16	1	551										72			
37	37	439/4	439/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16		1/16	1	552										72			
37	37	110	110	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	553										72			
37	37	441/4	441/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	554										72			
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	555													
38	38	111	111	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	556										73			
38	38	445/4	445/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	557										73			
38	38	223/2	223/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	558										73			
38	38	447/4	447/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	559										73			
38	38	112	112	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	560													
38	38	225/2	225/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	561										74			
38	38	451/4	451/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	562										74			
38	38	113	113	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	563										74			
38	38	453/4	453/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	564										74			
38	38	227/2	227/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	565													
38	38	111	111	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	566										75			
38	38	445/4	445/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	567										75			
38	38	223/2	223/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	568										75			
38	38	447/4	447/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	569										75			
38	38	112	112	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	570													
38	38	225/2	225/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16		1/16	1	571										76			
38	38	451/4	451/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16		1/16	1	572										76			
38	38	113	113	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	573										76			
38	38	453/4	453/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	574										76			
38	38	227/2	227/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	575													
39	39	114	114	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	576													
39	39	459/4	459/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	577				articStaccatoAbove									
39	39	115	115	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	578				articStaccatoAbove									
39	39	231/2	231/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	579				articStaccatoAbove									
39	39	116	116	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	580				articStaccatoAbove									
39	39	233/2	233/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	581				articStaccatoAbove									
39	39	114	114	0.75	0	0	Chord	6/8	3	1	3/16		1/8	3/2	582													
39	39	459/4	459/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	583				articStaccatoBelow									
39	39	115	115	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	584				articStaccatoBelow									
39	39	231/2	231/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	585				articStaccatoAbove									
39	39	116	116	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	586				articStaccatoAbove									
39	39	233/2	233/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	587				articStaccatoAbove									
40	40	117	117	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	588										77			
40	40	237/2	237/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	589													
40	40	117	117	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	590										78			
40	40	237/2	237/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	591													
