mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	TextLine	TextLine_rit.	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	218															
16	16	47	47	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	219															
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	220															
16	16	45	45	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	221									27						
16	16	136/3	136/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	222									27						
16	16	137/3	137/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	223															
16	16	46	46	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	224															
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	225															
16	16	47	47	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	226															
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	227															
17	17	48	48	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	228	ih-														
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	229	-ren														
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	230	Schooss														
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	231	hin-														
17	17	145/3	145/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	232									28						
17	17	146/3	146/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	233															
17	17	49	49	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	234															
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	235															
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	236															
17	17	48	48	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	237									29						
17	17	145/3	145/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	238									29						
17	17	146/3	146/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	239															
17	17	49	49	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	240															
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	241															
17	17	50	50	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	242															
